Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Shots,Age,Nationality,Rank
2022/23,160688.0,Jordan Ayew,Jordan,Ayew,F,9.0,Centre Striker,Crystal Palace,CRY,32.0,32 years 347 days,Ghana,100.0
2022/23,202648.0,Gabriel Magalhães,Gabriel,dos Santos Magalhães,D,6.0,Centre Central Defender,Arsenal,ARS,32.0,26 years 248 days,Brazil,100.0
2022/23,346844.0,Neal Maupay,Neal,Maupay,F,7.0,Centre Striker,Everton,EVE,32.0,28 years 9 days,France,100.0
2022/23,314846.0,James Tarkowski,James,Tarkowski,D,6.0,Centre Central Defender,Everton,EVE,32.0,31 years 278 days,England,100.0
2022/23,286396.0,Yoane Wissa,Yoane,Wissa,M,11.0,Left Winger,Brentford,BRE,32.0,27 years 355 days,DR Congo,100.0
2022/23,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,31.0,27 years 160 days,England,105.0
2022/23,360340.0,Bobby De Cordova-Reid,Bobby,De Cordova-Reid,F,14.0,Forward,n/a,n/a,31.0,31 years 203 days,Jamaica,105.0
2022/23,340565.0,Youri Tielemans,Youri,Tielemans,M,8.0,Centre Central Midfielder,n/a,n/a,31.0,27 years 108 days,Belgium,105.0
2022/23,277554.0,Patson Daka,Patson,Daka,F,20.0,Centre Striker,Leicester City,LEI,30.0,25 years 319 days,Zambia,108.0
2022/23,359382.0,Romain Perraud,Romain,Perraud,D,15.0,Left Full Back,n/a,n/a,30.0,26 years 336 days,France,108.0
2022/23,344312.0,Gianluca Scamacca,Gianluca,Scamacca,F,9.0,Centre Striker,n/a,n/a,30.0,25 years 235 days,Italy,108.0
2022/23,92622.0,Virgil van Dijk,Virgil,van Dijk,D,4.0,Centre Central Defender,Liverpool,LIV,30.0,33 years 46 days,Netherlands,108.0
2022/23,323410.0,Pervis Estupiñán,Pervis,Estupiñán,D,30.0,Left Full Back,Brighton & Hove Albion,BHA,29.0,26 years 215 days,Ecuador,112.0
2022/23,162005.0,Jacob Murphy,Jacob,Murphy,M,14.0,Left/Right Winger,Newcastle United,NEW,29.0,29 years 181 days,England,112.0
2022/23,356049.0,Ivan Perisic,Ivan,Perisic,F,4.0,Forward,n/a,n/a,29.0,35 years 203 days,Croatia,112.0
2022/23,362225.0,Crysencio Summerville,Crysencio,Summerville,F,7.0,Left Winger,Leeds United,LEE,29.0,22 years 298 days,Netherlands,112.0
2022/23,345054.0,Moisés Caicedo,Moisés,Caicedo,M,25.0,Centre Defensive Midfielder,n/a,n/a,28.0,22 years 295 days,Ecuador,116.0
2022/23,327260.0,Diego Costa,Diego,Da Silva Costa,F,29.0,Striker,n/a,n/a,28.0,35 years 321 days,Spain,116.0
2022/23,363122.0,Conor Gallagher,Conor,Gallagher,M,4.0,Centre Central Midfielder,n/a,n/a,28.0,24 years 199 days,England,116.0
2022/23,302712.0,Bruno Guimarães,Bruno,Guimarães Rodriguez Moura,M,39.0,Centre Defensive Midfielder,Newcastle United,NEW,28.0,26 years 281 days,Brazil,116.0
2022/23,319809.0,Ben Mee,Ben,Mee,D,16.0,Centre Central Defender,Brentford,BRE,28.0,34 years 337 days,England,116.0
2022/23,346778.0,Matheus Nunes,Matheus Luiz,Nunes,M,27.0,Central Midfielder,n/a,n/a,28.0,25 years 362 days,Portugal,116.0
2022/23,258869.0,Thomas Partey,Thomas,Partey,M,5.0,Centre Defensive Midfielder,Arsenal,ARS,28.0,31 years 71 days,Ghana,116.0
2022/23,361056.0,Allan Saint-Maximin,Allan,Saint-Maximin,F,97.0,Left Winger,n/a,n/a,28.0,27 years 164 days,France,116.0
2022/23,42727.0,Jeffrey Schlupp,Jeffrey,Schlupp,M,15.0,Left Winger,Crystal Palace,CRY,28.0,31 years 244 days,Ghana,116.0
2022/23,359151.0,Luis Sinisterra,Luis,Sinisterra,F,17.0,Right Winger,n/a,n/a,28.0,25 years 67 days,Colombia,116.0
2022/23,11259.0,Jamie Vardy,Jamie,Vardy,F,9.0,Centre Striker,Leicester City,LEI,28.0,37 years 225 days,England,116.0
2022/23,319999.0,Oleksandr Zinchenko,Oleksandr,Zinchenko,D,17.0,Left Full Back,Arsenal,ARS,28.0,27 years 252 days,Ukraine,116.0
2022/23,314636.0,Richarlison,Richarlison,de Andrade,F,9.0,Left/Centre/Right Second Striker,Tottenham Hotspur,TOT,27.0,27 years 105 days,Brazil,128.0
2022/23,302686.0,Luis Díaz,Luis,Díaz,F,7.0,Left/Right Winger,Liverpool,LIV,27.0,27 years 223 days,Colombia,128.0
2022/23,356767.0,Pablo Fornals,Pablo,Fornals,M,18.0,Attacking Midfielder,n/a,n/a,27.0,28 years 183 days,Spain,128.0
2022/23,301809.0,Anthony Martial,Anthony,Martial,F,22.0,Left/Centre/Right Striker,n/a,n/a,27.0,28 years 262 days,France,128.0
2022/23,302911.0,Jean-Philippe Mateta,Jean-Philippe,Mateta,F,14.0,Centre Striker,Crystal Palace,CRY,27.0,27 years 56 days,France,128.0
2022/23,362988.0,Deniz Undav,Deniz,Undav,F,26.0,Centre Striker,n/a,n/a,27.0,28 years 35 days,Germany,128.0
2022/23,344342.0,Matheus Cunha,Matheus Santos,Carneiro da Cunha,F,12.0,Striker,n/a,n/a,26.0,25 years 88 days,Brazil,134.0
2022/23,359600.0,Kiernan Dewsbury-Hall,Kiernan,Dewsbury-Hall,M,22.0,Central Midfielder,n/a,n/a,26.0,25 years 352 days,England,134.0
2022/23,336736.0,Dango Ouattara,Dango,Ouattara,F,11.0,Forward,Bournemouth,BOU,26.0,22 years 194 days,Burkina Faso,134.0
2022/23,340461.0,Pedro Porro,Pedro,Porro,D,23.0,Right Full Back,n/a,n/a,26.0,24 years 345 days,Spain,134.0
2022/23,345071.0,Fred,Frederico,Rodrigues de Paula Santos,M,35.0,Centre Central Midfielder,n/a,n/a,26.0,31 years 171 days,Brazil,134.0
2022/23,134233.0,Ryan Yates,Ryan,Yates,M,22.0,Left/Centre/Right Attacking Midfielder,Nottingham Forest,NFO,26.0,26 years 276 days,England,134.0
2022/23,286397.0,Adam Armstrong,Adam,Armstrong,F,9.0,Centre Striker,Southampton,SOU,25.0,27 years 195 days,England,140.0
2022/23,336621.0,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,F,7.0,Centre Striker,n/a,n/a,25.0,39 years 200 days,Portugal,140.0
2022/23,44030.0,Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,M,20.0,Left/Centre Attacking Midfielder,Manchester City,MCI,25.0,30 years 13 days,Portugal,140.0
2022/23,316560.0,Neco Williams,Neco,Williams,D,7.0,Right Full Back,Nottingham Forest,NFO,25.0,23 years 132 days,Wales,140.0
2022/23,356612.0,Carlos Alcaraz,Carlos,Alcaraz,M,26.0,Centre Central Midfielder,Southampton,SOU,24.0,21 years 267 days,Argentina,144.0
2022/23,359145.0,Luke Ayling,Luke,Ayling,D,12.0,Right Full Back,n/a,n/a,24.0,32 years 364 days,England,144.0
2022/23,309995.0,Alejandro Garnacho,Alejandro,Garnacho,F,17.0,Left/Right Winger,Manchester United,MUN,24.0,20 years 53 days,Argentina,144.0
2022/23,337934.0,Kamaldeen Sulemana,Kamaldeen,Sulemana,M,20.0,Left Winger,Southampton,SOU,24.0,22 years 190 days,Ghana,144.0
2022/23,130310.0,Stuart Armstrong,Stuart,Armstrong,M,17.0,Left Winger,n/a,n/a,23.0,32 years 146 days,Scotland,148.0
2022/23,355783.0,Jordan Henderson,Jordan,Henderson,M,6.0,Midfielder,n/a,n/a,23.0,34 years 67 days,England,148.0
2022/23,160425.0,Mathias Jensen,Mathias,Jensen,M,8.0,Centre Central Midfielder,Brentford,BRE,23.0,28 years 235 days,Denmark,148.0
2022/23,340665.0,Mateo Kovacic,Mateo,Kovacic,M,8.0,Central Midfielder,n/a,n/a,23.0,30 years 109 days,Croatia,148.0
2022/23,361026.0,Kieffer Moore,Kieffer,Moore,F,9.0,Centre Striker,n/a,n/a,23.0,32 years 15 days,Wales,148.0
2022/23,363213.0,Joachim Andersen,Joachim,Andersen,D,5.0,Centre Central Defender,n/a,n/a,22.0,28 years 84 days,Denmark,153.0
2022/23,347503.0,Jaidon Anthony,Jaidon,Anthony,F,12.0,Forward,Bournemouth,BOU,22.0,24 years 266 days,England,153.0
2022/23,313931.0,Sven Botman,Sven,Botman,D,4.0,Central Defender,Newcastle United,NEW,22.0,24 years 224 days,Netherlands,153.0
2022/23,258769.0,Diogo Dalot,José Diogo,Dalot Teixeira,D,5.0,Right Full Back,Manchester United,MUN,22.0,25 years 158 days,Portugal,153.0
2022/23,13742.0,Lewis Dunk,Lewis,Dunk,D,30.0,Defender,Brighton & Hove Albion,BHA,22.0,32 years 276 days,England,153.0
2022/23,325635.0,Wilfried Gnonto,Wilfried,Gnonto,F,29.0,Attacking Midfielder,Leeds United,LEE,22.0,20 years 292 days,Italy,153.0
2022/23,36581.0,Rico Henry,Rico,Henry,D,3.0,Left Full Back,Brentford,BRE,22.0,27 years 46 days,England,153.0
2022/23,356788.0,Carlos Vinícius,Carlos Vinícius,Alves Morais,F,95.0,Centre Striker,n/a,n/a,21.0,29 years 151 days,Brazil,160.0
2022/23,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,Newcastle United,NEW,21.0,32 years 106 days,England,160.0
2022/23,19302.0,Tom Cairney,Tom,Cairney,M,10.0,Left/Centre/Right Attacking Midfielder,Fulham,FUL,21.0,33 years 216 days,Scotland,160.0
2022/23,312585.0,Philippe Coutinho,Philippe,Coutinho Correia,M,23.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,21.0,32 years 72 days,Brazil,160.0
2022/23,356259.0,Emmanuel Dennis,Emmanuel,Dennis,F,25.0,Centre Striker,Nottingham Forest,NFO,21.0,26 years 282 days,Nigeria,160.0
2022/23,355322.0,Jadon Sancho,Jadon,Sancho,F,10.0,Left/Right Winger,Manchester United,MUN,21.0,24 years 151 days,England,160.0
2022/23,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,M,16.0,Centre Central Midfielder,Everton,EVE,20.0,31 years 235 days,Mali,166.0
2022/23,337917.0,Enzo Fernández,Enzo,Fernández,M,8.0,Midfielder,Chelsea,CHE,20.0,23 years 219 days,Argentina,166.0
2022/23,343093.0,Raúl Jiménez,Raúl,Jiménez,F,7.0,Striker,n/a,n/a,20.0,33 years 110 days,Mexico,166.0
2022/23,202622.0,Harrison Reed,Harrison,Reed,M,6.0,Centre Central Midfielder,Fulham,FUL,20.0,29 years 209 days,England,166.0
2022/23,336549.0,Pablo Sarabia,Pablo,Sarabia,M,21.0,Left/Centre/Right Attacking Midfielder,Wolverhampton Wanderers,WOL,20.0,32 years 104 days,Spain,166.0
2022/23,277556.0,Theo Walcott,Theo,Walcott,F,32.0,Right Winger,Southampton,SOU,20.0,35 years 160 days,England,166.0
2022/23,346392.0,Timothy Castagne,Timothy,Castagne,D,21.0,Right Full Back,n/a,n/a,19.0,28 years 262 days,Belgium,172.0
2022/23,355804.0,Gonçalo Guedes,Gonçalo Manuel,Ganchinho Guedes,F,9.0,Left Winger,Wolverhampton Wanderers,WOL,19.0,27 years 268 days,Portugal,172.0
2022/23,160057.0,Christian Nørgaard,Christian,Nørgaard,M,6.0,Centre Central Midfielder,Brentford,BRE,19.0,30 years 166 days,Denmark,172.0
2022/23,342046.0,Christian Pulisic,Christian,Pulisic,M,11.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,19.0,25 years 340 days,United States,172.0
2022/23,343487.0,Mohammed Salisu,Mohammed,Salisu,D,22.0,Central Defender,Southampton,SOU,19.0,25 years 128 days,Ghana,172.0
2022/23,344967.0,Adama Traoré,Adama,Traoré,F,11.0,Winger,n/a,n/a,19.0,28 years 211 days,Spain,172.0
2022/23,288580.0,Kurt Zouma,Kurt,Zouma,D,4.0,Centre Central Defender,West Ham United,WHU,19.0,29 years 301 days,France,172.0
2022/23,135989.0,Josh Dasilva,Josh,Dasilva,M,10.0,Left/Right Winger,Brentford,BRE,18.0,25 years 305 days,England,179.0
2022/23,312590.0,Hwang Hee-Chan,Hee-Chan,Hwang,F,11.0,Centre Striker,Wolverhampton Wanderers,WOL,18.0,28 years 210 days,South Korea,179.0
2022/23,361805.0,Ryan Sessegnon,Ryan,Sessegnon,M,30.0,Left/Right Winger,n/a,n/a,18.0,24 years 97 days,England,179.0
2022/23,347736.0,Fabinho,Fábio Henrique,Tavares,M,8.0,Centre Defensive Midfielder,n/a,n/a,18.0,30 years 305 days,Brazil,179.0
2022/23,336893.0,Adam Webster,Adam,Webster,D,4.0,Defender,Brighton & Hove Albion,BHA,18.0,29 years 232 days,England,179.0
2022/23,283241.0,Harry Wilson,Harry,Wilson,M,8.0,Left/Right Winger,Fulham,FUL,18.0,27 years 154 days,Wales,179.0
2022/23,346821.0,João Cancelo,João Pedro,Cavaco Cancelo,D,2.0,Right Full Back,Manchester City,MCI,17.0,30 years 88 days,Portugal,185.0
2022/23,336892.0,Craig Dawson,Craig,Dawson,D,15.0,Centre Central Defender,Wolverhampton Wanderers,WOL,17.0,34 years 109 days,England,185.0
2022/23,359602.0,Eric Dier,Eric,Dier,D,15.0,Centre Central Defender,n/a,n/a,17.0,30 years 221 days,England,185.0
2022/23,325634.0,Daniel James,Daniel,James,M,21.0,Right Winger,n/a,n/a,17.0,26 years 287 days,Wales,185.0
2022/23,360556.0,Robin Koch,Robin,Koch,D,4.0,Central Defender,Leeds United,LEE,17.0,28 years 37 days,Germany,185.0
2022/23,362760.0,Emerson Royal,Emerson Aparecido,Leite de Souza Júnior,D,22.0,Right Full Back,n/a,n/a,17.0,25 years 222 days,Brazil,185.0
2022/23,362697.0,Pedro Neto,Pedro,Lomba Neto,F,7.0,Left/Right Winger,n/a,n/a,17.0,24 years 167 days,Portugal,185.0
2022/23,320183.0,Sékou Mara,Sékou,Mara,F,18.0,Centre Striker,n/a,n/a,17.0,22 years 24 days,France,185.0
2022/23,359177.0,Tosin Adarabioyo,Tosin,Adarabioyo,D,4.0,Centre Central Defender,n/a,n/a,16.0,26 years 334 days,England,193.0
2022/23,345706.0,Pierre-Emerick Aubameyang,Pierre-Emerick,Aubameyang,F,10.0,Striker,n/a,n/a,16.0,35 years 66 days,Gabon,193.0
2022/23,325151.0,Ben Chilwell,Ben,Chilwell,D,21.0,Left Full Back,Chelsea,CHE,16.0,27 years 246 days,England,193.0
2022/23,52087.0,Reece James,Reece,James,D,24.0,Right Full Back,Chelsea,CHE,16.0,24 years 259 days,England,193.0
2022/23,346451.0,João Moutinho,João Filipe Iria,Santos Moutinho,M,28.0,Midfielder,n/a,n/a,16.0,37 years 350 days,Portugal,193.0
2022/23,258788.0,Pascal Struijk,Pascal,Struijk,D,21.0,Centre Central Defender,Leeds United,LEE,16.0,25 years 12 days,Netherlands,193.0
2022/23,359638.0,Hakim Ziyech,Hakim,Ziyech,M,22.0,Centre Attacking Midfielder,n/a,n/a,16.0,31 years 157 days,Morocco,193.0
2022/23,325430.0,Manuel Akanji,Manuel,Akanji,D,25.0,Centre Central Defender,Manchester City,MCI,15.0,29 years 35 days,Switzerland,200.0
2022/23,302775.0,Rodrigo Bentancur,Rodrigo,Bentancur,M,30.0,Centre Central Midfielder,Tottenham Hotspur,TOT,15.0,27 years 59 days,Uruguay,200.0
2022/23,344611.0,Tetê,Mateus,Cardoso Lemos Martins,F,20.0,Right Winger,n/a,n/a,15.0,24 years 190 days,Brazil,200.0
2022/23,336542.0,Danilo,Danilo,dos Santos de Oliveira,M,28.0,Midfielder,Nottingham Forest,NFO,15.0,23 years 116 days,Brazil,200.0
2022/23,196369.0,Thiago Silva,Thiago,Emiliano da Silva,D,6.0,Centre Central Defender,n/a,n/a,15.0,39 years 336 days,Brazil,200.0
2022/23,313032.0,Fábio Vieira,Fábio Daniel,Ferreira Vieira,M,21.0,Centre Attacking Midfielder,Arsenal,ARS,15.0,24 years 85 days,Portugal,200.0
2022/23,263465.0,Idrissa Gueye,Idrissa,Gueye,M,27.0,Centre Defensive Midfielder,Everton,EVE,15.0,34 years 332 days,Senegal,200.0
2022/23,138634.0,Curtis Jones,Curtis,Jones,M,17.0,Centre Central Midfielder,Liverpool,LIV,15.0,23 years 206 days,England,200.0
2022/23,355739.0,Renan Lodi,Renan Augusto,Lodi dos Santos,D,6.0,Defender,n/a,n/a,15.0,26 years 137 days,Brazil,200.0
2022/23,339963.0,Ethan Pinnock,Ethan,Pinnock,D,n/a,Left/Centre Central Defender,Brentford,BRE,15.0,31 years 86 days,Jamaica,200.0
2022/23,186988.0,Joël Veltman,Joël,Veltman,D,34.0,Centre/Right Full Back,Brighton & Hove Albion,BHA,15.0,32 years 221 days,Netherlands,200.0
2022/23,341954.0,Ashley Young,Ashley,Young,D,18.0,Defender,n/a,n/a,15.0,39 years 45 days,England,200.0
2022/23,316201.0,Joe Aribo,Joe,Aribo,M,7.0,Central Midfielder,Southampton,SOU,14.0,28 years 33 days,Nigeria,212.0
2022/23,346885.0,Armel Bella-Kotchap,Armel,Bella-Kotchap,D,6.0,Centre Central Defender,Southampton,SOU,14.0,22 years 256 days,Germany,212.0
2022/23,14111.0,Ben Davies,Ben,Davies,D,33.0,Left Full Back,Tottenham Hotspur,TOT,14.0,31 years 121 days,Wales,212.0
2022/23,282013.0,Marc Guéhi,Marc,Guéhi,D,6.0,Centre Central Defender,Crystal Palace,CRY,14.0,24 years 41 days,England,212.0
2022/23,258703.0,Vitaly Janelt,Vitaly,Janelt,M,27.0,Centre Defensive Midfielder,Brentford,BRE,14.0,26 years 105 days,Germany,212.0
2022/23,48260.0,Michael Keane,Michael,Keane,D,5.0,Centre Central Defender,Everton,EVE,14.0,31 years 225 days,England,212.0
2022/23,360341.0,Maximilian Kilman,Maximilian,Kilman,D,26.0,Left/Centre Central Defender,n/a,n/a,14.0,27 years 92 days,England,212.0
2022/23,336483.0,Mykhailo Mudryk,Mykhailo,Mudryk,M,10.0,Left Winger,Chelsea,CHE,14.0,23 years 231 days,Ukraine,212.0
2022/23,14011.0,Luke Shaw,Luke,Shaw,D,23.0,Left Full Back,Manchester United,MUN,14.0,29 years 42 days,England,212.0
2022/23,363000.0,Kieran Trippier,Kieran,Trippier,D,n/a,Right Full Back,Newcastle United,NEW,14.0,33 years 339 days,England,212.0
2022/23,336341.0,Wout Weghorst,Wout,Weghorst,F,27.0,Striker,n/a,n/a,14.0,32 years 16 days,Netherlands,212.0
2022/23,360753.0,Felipe,Felipe Augusto,de Almeida Monteiro,D,n/a,Centre Central Defender,n/a,n/a,13.0,35 years 99 days,Brazil,223.0
2022/23,325441.0,Wout Faes,Wout,Faes,D,3.0,Central Defender,Leicester City,LEI,13.0,26 years 142 days,Belgium,223.0
2022/23,361462.0,Rasmus Kristensen,Rasmus,Kristensen,D,13.0,Right Full Back,Leeds United,LEE,13.0,27 years 43 days,Denmark,223.0
2022/23,346785.0,Clément Lenglet,Clément,Lenglet,D,17.0,Left/Centre Central Defender,n/a,n/a,13.0,29 years 67 days,France,223.0
2022/23,337759.0,Weston McKennie,Weston,McKennie,M,28.0,Centre Central Midfielder,Leeds United,LEE,13.0,25 years 361 days,United States,223.0
2022/23,43231.0,Scott McTominay,Scott,McTominay,M,39.0,Centre Attacking Midfielder,Manchester United,MUN,13.0,27 years 259 days,Scotland,223.0
2022/23,363133.0,Álex Moreno,Álex,Moreno,D,19.0,Left Full Back,n/a,n/a,13.0,31 years 76 days,Spain,223.0
2022/23,50135.0,Andy Robertson,Andy,Robertson,D,26.0,Left Full Back,Liverpool,LIV,13.0,30 years 165 days,Scotland,223.0
2022/23,314795.0,Kenny Tete,Kenny,Tete,D,n/a,Right Full Back,Fulham,FUL,13.0,28 years 319 days,Netherlands,223.0
2022/23,187645.0,Kyle Walker-Peters,Kyle,Walker-Peters,D,2.0,Right Full Back,Southampton,SOU,13.0,27 years 132 days,England,223.0
2022/23,312977.0,Nayef Aguerd,Nayef,Aguerd,D,27.0,Centre Central Defender,West Ham United,WHU,12.0,28 years 146 days,Morocco,233.0
2022/23,322881.0,Mikkel Damsgaard,Mikkel,Damsgaard,M,24.0,Left/Centre Attacking Midfielder,Brentford,BRE,12.0,24 years 51 days,Denmark,233.0
2022/23,360266.0,Sam Greenwood,Sam,Greenwood,M,20.0,Attacking Midfielder,n/a,n/a,12.0,22 years 210 days,England,233.0
2022/23,345120.0,Roméo Lavia,Roméo,Lavia,M,45.0,Centre Defensive Midfielder,n/a,n/a,12.0,20 years 230 days,Belgium,233.0
2022/23,336789.0,Noni Madueke,Noni,Madueke,F,n/a,Winger,Chelsea,CHE,12.0,22 years 166 days,England,233.0
2022/23,353831.0,Reiss Nelson,Reiss,Nelson,M,n/a,Left/Centre/Right Winger,Arsenal,ARS,12.0,24 years 257 days,England,233.0
2022/23,340456.0,Kevin Schade,Kevin,Schade,M,7.0,Left/Right Winger,n/a,n/a,12.0,22 years 270 days,Germany,233.0
2022/23,349711.0,Lyanco,Lyanco Evangelista,Silveira Neves Vojnovic,D,n/a,Centre Central Defender,n/a,n/a,12.0,27 years 204 days,Brazil,233.0
2022/23,340567.0,Chris Wood,Chris,Wood,F,11.0,Centre Striker,n/a,n/a,12.0,32 years 260 days,New Zealand,233.0
2022/23,359414.0,Elliot Anderson,Elliot,Anderson,M,8.0,Centre Central Midfielder,n/a,n/a,11.0,21 years 291 days,Scotland,242.0
2022/23,362646.0,Facundo Buonanotte,Facundo,Buonanotte,M,40.0,Centre Attacking Midfielder,n/a,n/a,11.0,19 years 244 days,Argentina,242.0
2022/23,362739.0,Fábio Carvalho,Fábio Leandro,Freitas Gouveia de Carvalho,M,14.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,11.0,21 years 359 days,Portugal,242.0
2022/23,337833.0,Jorginho,Jorge Luiz,Frello Filho,M,20.0,Centre Central Midfielder,Arsenal,ARS,11.0,32 years 247 days,Italy,242.0
2022/23,359413.0,Lewis Hall,Lewis,Hall,D,20.0,Left Full Back,n/a,n/a,11.0,19 years 350 days,England,242.0
2022/23,336323.0,Aaron Hickey,Aaron,Hickey,D,n/a,Left Full Back,Brentford,BRE,11.0,22 years 74 days,Scotland,242.0
2022/23,279619.0,Ibrahima Konaté,Ibrahima,Konaté,D,5.0,Centre Central Defender,Liverpool,LIV,11.0,25 years 90 days,France,242.0
2022/23,354647.0,Kalidou Koulibaly,Kalidou,Koulibaly,D,3.0,Centre Central Defender,n/a,n/a,11.0,33 years 64 days,Senegal,242.0
2022/23,349912.0,Paul Onuachu,Paul,Onuachu,F,30.0,Forward,Southampton,SOU,11.0,30 years 87 days,Nigeria,242.0
2022/23,346777.0,Cole Palmer,Cole,Palmer,M,20.0,Attacking Midfielder,n/a,n/a,11.0,22 years 109 days,England,242.0
2022/23,324030.0,Emerson,Emerson,Palmieri dos Santos,D,33.0,Left Full Back,West Ham United,WHU,11.0,30 years 20 days,Italy,242.0
2022/23,285389.0,Cristian Romero,Cristian,Romero,D,17.0,Centre Central Defender,Tottenham Hotspur,TOT,11.0,26 years 118 days,Argentina,242.0
2022/23,342994.0,Marcel Sabitzer,Marcel,Sabitzer,M,20.0,Central Midfielder,n/a,n/a,11.0,30 years 159 days,Austria,242.0
2022/23,341838.0,Manor Solomon,Manor,Solomon,F,27.0,Left Winger,n/a,n/a,11.0,25 years 30 days,Israel,242.0
2022/23,31291.0,John Stones,John,Stones,D,5.0,Centre Central Defender,Manchester City,MCI,11.0,30 years 87 days,England,242.0
2022/23,279691.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,D,3.0,Left Full Back,Wolverhampton Wanderers,WOL,10.0,23 years 78 days,Algeria,257.0
2022/23,255615.0,Thiago Alcântara,Thiago,Alcântara,M,6.0,Centre Central Midfielder,n/a,n/a,10.0,33 years 134 days,Spain,257.0
2022/23,14742.0,Liam Cooper,Liam,Cooper,D,6.0,Centre Central Defender,Leeds United,LEE,10.0,32 years 359 days,Scotland,257.0
2022/23,294007.0,Matt Doherty,Matt,Doherty,D,2.0,Right Full Back,n/a,n/a,10.0,32 years 220 days,Ireland,257.0
2022/23,257590.0,Rúben Dias,Rúben,dos Santos Gato Alves Dias,D,3.0,Centre Central Defender,Manchester City,MCI,10.0,27 years 101 days,Portugal,257.0
2022/23,342996.0,Anthony Elanga,Anthony,Elanga,F,21.0,Left Winger,n/a,n/a,10.0,22 years 118 days,Sweden,257.0
2022/23,337369.0,Joe Gelhardt,Joe,Gelhardt,F,28.0,Centre Striker,Leeds United,LEE,10.0,22 years 111 days,England,257.0
2022/23,129760.0,Naby Keïta,Naby,Keïta,M,8.0,Centre Central Midfielder,n/a,n/a,10.0,29 years 195 days,Guinea,257.0
2022/23,345855.0,Aymeric Laporte,Aymeric,Laporte,D,27.0,Centre Central Defender,n/a,n/a,10.0,30 years 88 days,Spain,257.0
2022/23,319734.0,Jesse Lingard,Jesse,Lingard,M,11.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,10.0,31 years 252 days,England,257.0
2022/23,318813.0,Lisandro Martínez,Lisandro,Martínez,D,6.0,Central Defender,Manchester United,MUN,10.0,26 years 218 days,Argentina,257.0
2022/23,299539.0,Vitalii Mykolenko,Vitalii,Mykolenko,D,19.0,Left Full Back,Everton,EVE,10.0,25 years 86 days,Ukraine,257.0
2022/23,362816.0,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,D,29.0,Right Full Back,n/a,n/a,10.0,26 years 271 days,England,257.0
2022/23,284417.0,Ben White,Ben,White,D,4.0,Centre/Right Central Defender,Arsenal,ARS,10.0,26 years 320 days,England,257.0
2022/23,187388.0,Nathan Aké,Nathan,Aké,D,6.0,Left/Centre Central Defender,Manchester City,MCI,9.0,29 years 187 days,Netherlands,271.0
2022/23,356787.0,Sèrge Aurier,Sèrge,Aurier,D,92.0,Right Full Back,n/a,n/a,9.0,31 years 243 days,Cote D’Ivoire,271.0
2022/23,341459.0,César Azpilicueta,César,Azpilicueta,D,3.0,Right Full Back,n/a,n/a,9.0,34 years 361 days,Spain,271.0
2022/23,363190.0,Nélson Semedo,Nélson,Cabral Semedo,D,2.0,Right Full Back,Wolverhampton Wanderers,WOL,9.0,30 years 281 days,Portugal,271.0
2022/23,356522.0,Jonny,Jonathan,Castro Otto,D,19.0,Defender,n/a,n/a,9.0,30 years 173 days,Spain,271.0
2022/23,325150.0,Trevoh Chalobah,Trevoh,Chalobah,D,14.0,Centre Central Defender,Chelsea,CHE,9.0,25 years 49 days,England,271.0
2022/23,322418.0,Maxwel Cornet,Maxwel,Cornet,F,22.0,Winger,West Ham United,WHU,9.0,27 years 331 days,Cote D’Ivoire,271.0
2022/23,14131.0,Aaron Cresswell,Aaron,Cresswell,D,3.0,Left Full Back,West Ham United,WHU,9.0,34 years 252 days,England,271.0
2022/23,345098.0,Tom Davies,Tom,Davies,M,22.0,Midfielder,n/a,n/a,9.0,26 years 54 days,England,271.0
2022/23,338756.0,James Garner,James,Garner,M,n/a,Centre Central Midfielder,Everton,EVE,9.0,23 years 163 days,England,271.0
2022/23,268675.0,Neeskens Kebano,Neeskens,Kebano,M,21.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,9.0,32 years 166 days,DR Congo,271.0
2022/23,336342.0,Mario Lemina,Mario,Lemina,M,5.0,Centre Central Midfielder,Wolverhampton Wanderers,WOL,9.0,30 years 357 days,Gabon,271.0
2022/23,341253.0,Ruben Loftus-Cheek,Ruben,Loftus-Cheek,M,8.0,Centre Central Midfielder,n/a,n/a,9.0,28 years 213 days,England,271.0
2022/23,360569.0,Orel Mangala,Orel,Mangala,M,25.0,Central Midfielder,n/a,n/a,9.0,26 years 158 days,Belgium,271.0
