Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,OwnGoals,Age,Nationality,Rank
2018/19,340930.0,Conor Coady,Conor,Coady,D,4.0,Centre Central Defender,n/a,n/a,3.0,31 years 180 days,England,1.0
2018/19,347715.0,Craig Cathcart,Craig,Cathcart,D,n/a,Centre Central Defender,Watford,WAT,2.0,35 years 199 days,Northern Ireland,2.0
2018/19,337815.0,Wesley Hoedt,Wesley,Hoedt,D,4.0,Centre Central Defender,n/a,n/a,2.0,30 years 170 days,Netherlands,2.0
2018/19,319809.0,Ben Mee,Ben,Mee,D,16.0,Centre Central Defender,Burnley,BUR,2.0,34 years 337 days,England,2.0
2018/19,319009.0,Toby Alderweireld,Toby,Alderweireld,D,23.0,Defender,n/a,n/a,1.0,35 years 174 days,Belgium,5.0
2018/19,335366.0,Phil Bardsley,Phil,Bardsley,D,27.0,Right Full Back,Burnley,BUR,1.0,39 years 56 days,Scotland,5.0
2018/19,340758.0,Ashley Barnes,Ashley,Barnes,F,10.0,Centre Striker,n/a,n/a,1.0,34 years 298 days,England,5.0
2018/19,342164.0,Héctor Bellerín,Héctor,Bellerín,D,2.0,Right Full Back,n/a,n/a,1.0,29 years 157 days,Spain,5.0
2018/19,94007.0,Séamus Coleman,Séamus,Coleman,D,n/a,Right Full Back,Everton,EVE,1.0,35 years 317 days,Ireland,5.0
2018/19,344449.0,Steve Cook,Steve,Cook,D,5.0,Central Defender,n/a,n/a,1.0,33 years 126 days,England,5.0
2018/19,300571.0,Lucas Digne,Lucas,Digne,D,12.0,Left Full Back,n/a,n/a,1.0,31 years 34 days,France,5.0
2018/19,322882.0,Issa Diop,Issa,Diop,D,31.0,Centre Central Defender,West Ham United,WHU,1.0,27 years 227 days,France,5.0
2018/19,294007.0,Matt Doherty,Matt,Doherty,D,2.0,Right Full Back,n/a,n/a,1.0,32 years 220 days,Ireland,5.0
2018/19,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,M,16.0,Centre Central Midfielder,n/a,n/a,1.0,31 years 235 days,Mali,5.0
2018/19,267496.0,Timothy Fosu-Mensah,Timothy,Fosu-Mensah,D,24.0,Left/Centre/Right Central Defender,n/a,n/a,1.0,26 years 234 days,Netherlands,5.0
2018/19,337757.0,Martin Kelly,Martin,Kelly,D,34.0,Right Full Back,n/a,n/a,1.0,34 years 118 days,England,5.0
2018/19,359129.0,Terence Kongolo,Terence,Kongolo,D,15.0,Central Defender,n/a,n/a,1.0,30 years 191 days,Netherlands,5.0
2018/19,340460.0,Jefferson Lerma,Jefferson,Lerma,M,8.0,Centre Central Midfielder,n/a,n/a,1.0,29 years 303 days,Colombia,5.0
2018/19,44159.0,Victor Lindelöf,Victor,Lindelöf,D,n/a,Centre Central Defender,Manchester United,MUN,1.0,30 years 37 days,Sweden,5.0
2018/19,296173.0,Fernando Llorente,Fernando,Llorente,F,12.0,Centre Striker,n/a,n/a,1.0,39 years 179 days,Spain,5.0
2018/19,359203.0,Denis Odoi,Denis,Odoi,D,6.0,Defender,n/a,n/a,1.0,36 years 88 days,Ghana,5.0
2018/19,295821.0,Marcos Rojo,Marcos,Rojo,D,6.0,Left/Centre Central Defender,n/a,n/a,1.0,34 years 156 days,Argentina,5.0
2018/19,358552.0,Jack Simpson,Jack,Simpson,D,4.0,Centre Central Defender,n/a,n/a,1.0,27 years 249 days,England,5.0
2018/19,259066.0,Chris Smalling,Chris,Smalling,D,6.0,Centre Central Defender,n/a,n/a,1.0,34 years 275 days,England,5.0
2018/19,363000.0,Kieran Trippier,Kieran,Trippier,D,n/a,Right Full Back,n/a,n/a,1.0,33 years 339 days,England,5.0
2018/19,345007.0,James Ward-Prowse,James,Ward-Prowse,M,8.0,Central Midfielder,n/a,n/a,1.0,29 years 296 days,England,5.0
2018/19,312091.0,DeAndre Yedlin,DeAndre,Yedlin,D,2.0,Right Full Back,n/a,n/a,1.0,31 years 45 days,United States,5.0
2018/19,340754.0,Joe Bryan,Joe,Bryan,D,15.0,Left Full Back,n/a,n/a,0.0,30 years 341 days,England,28.0
2018/19,343543.0,Sead Kolasinac,Sead,Kolasinac,D,23.0,Left Full Back,n/a,n/a,0.0,31 years 64 days,Bosnia & Herzegovina,28.0
2018/19,322089.0,Angelo Ogbonna,Angelo,Ogbonna,D,n/a,Central Defender,n/a,n/a,0.0,36 years 92 days,Italy,28.0
2017/18,13742.0,Lewis Dunk,Lewis,Dunk,D,30.0,Defender,Brighton & Hove Albion,BHA,4.0,32 years 276 days,England,1.0
2017/18,341459.0,César Azpilicueta,César,Azpilicueta,D,3.0,Right Full Back,n/a,n/a,1.0,34 years 361 days,Spain,2.0
2017/18,18272.0,Eric Bailly,Eric,Bailly,D,4.0,Centre Central Defender,n/a,n/a,1.0,30 years 133 days,Cote D’Ivoire,2.0
2017/18,359639.0,Michy Batshuayi,Michy,Batshuayi,F,44.0,Left/Centre Striker,Chelsea,CHE,1.0,30 years 326 days,Belgium,2.0
2017/18,180097.0,Gaëtan Bong,Gaëtan,Bong,D,6.0,Left Full Back,n/a,n/a,1.0,36 years 120 days,Cameroon,2.0
2017/18,347041.0,Jack Butland,Jack,Butland,G,1.0,Goalkeeper,n/a,n/a,1.0,31 years 166 days,England,2.0
2017/18,344449.0,Steve Cook,Steve,Cook,D,5.0,Central Defender,n/a,n/a,1.0,33 years 126 days,England,2.0
2017/18,343383.0,Karl Darlow,Karl,Darlow,G,26.0,Goalkeeper,n/a,n/a,1.0,33 years 320 days,England,2.0
2017/18,110232.0,Jonny Evans,Jonny,Evans,D,35.0,Centre Central Defender,West Bromwich Albion,WBA,1.0,36 years 233 days,Northern Ireland,2.0
2017/18,325640.0,Federico Fernández,Federico,Fernández,D,2.0,Centre Central Defender,n/a,n/a,1.0,35 years 184 days,Argentina,2.0
2017/18,311979.0,Christian Fuchs,Christian,Fuchs,D,22.0,Left Full Back,n/a,n/a,1.0,38 years 138 days,Austria,2.0
2017/18,6013.0,Phil Jones,Phil,Jones,D,4.0,Centre Central Defender,n/a,n/a,1.0,32 years 184 days,England,2.0
2017/18,30562.0,Christian Kabasele,Christian,Kabasele,D,27.0,Centre Central Defender,n/a,n/a,1.0,33 years 181 days,Belgium,2.0
2017/18,337757.0,Martin Kelly,Martin,Kelly,D,34.0,Right Full Back,n/a,n/a,1.0,34 years 118 days,England,2.0
2017/18,335966.0,Kevin Long,Kevin,Long,D,26.0,Centre Central Defender,n/a,n/a,1.0,34 years 5 days,Ireland,2.0
2017/18,299538.0,Jonas Lössl,Jonas,Lössl,G,49.0,Goalkeeper,n/a,n/a,1.0,35 years 204 days,Denmark,2.0
2017/18,343669.0,James McClean,James,McClean,M,7.0,Left Winger,West Bromwich Albion,WBA,1.0,35 years 123 days,Ireland,2.0
2017/18,41422.0,Kyle Naughton,Kyle,Naughton,D,26.0,Right Full Back,Swansea City,SWA,1.0,35 years 280 days,England,2.0
2017/18,258178.0,Nicolás Otamendi,Nicolás,Otamendi,D,30.0,Central Defender,n/a,n/a,1.0,36 years 193 days,Argentina,2.0
2017/18,362819.0,Ayoze Pérez,Ayoze,Pérez,F,22.0,Left/Centre/Right Winger,n/a,n/a,1.0,31 years 25 days,Spain,2.0
2017/18,348051.0,Davinson Sánchez,Davinson,Sánchez,D,6.0,Centre Central Defender,n/a,n/a,1.0,28 years 72 days,Colombia,2.0
2017/18,361188.0,Kasper Schmeichel,Kasper,Schmeichel,G,1.0,Goalkeeper,n/a,n/a,1.0,37 years 292 days,Denmark,2.0
2017/18,166767.0,Ryan Shawcross,Ryan,Shawcross,D,n/a,Centre Central Defender,n/a,n/a,1.0,36 years 324 days,England,2.0
2017/18,50015.0,Kyle Walker,Kyle,Walker,D,2.0,Right Full Back,Manchester City,MCI,1.0,34 years 87 days,England,2.0
2017/18,128164.0,Joel Ward,Joel,Ward,D,n/a,Defender,n/a,n/a,1.0,34 years 299 days,England,2.0
2017/18,312091.0,DeAndre Yedlin,DeAndre,Yedlin,D,2.0,Right Full Back,n/a,n/a,1.0,31 years 45 days,United States,2.0
2017/18,44033.0,Pablo Zabaleta,Pablo,Zabaleta,D,5.0,Right Full Back,n/a,n/a,1.0,39 years 220 days,Argentina,2.0
2017/18,268846.0,Jonjoe Kenny,Jonjoe,Kenny,D,16.0,Right Full Back,n/a,n/a,0.0,27 years 161 days,England,28.0
2017/18,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,n/a,n/a,0.0,25 years 222 days,England,28.0
2017/18,92622.0,Virgil van Dijk,Virgil,van Dijk,D,4.0,Centre Central Defender,Liverpool,LIV,0.0,33 years 46 days,Netherlands,28.0
