Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Appearances,Age,Nationality,Rank
2024/25,362646.0,Facundo Buonanotte,Facundo,Buonanotte,M,40.0,Centre Attacking Midfielder,Leicester City,LEI,1.0,19 years 244 days,Argentina,1.0
2024/25,302934.0,Dan Burn,Dan,Burn,D,33.0,Centre Central Defender,Newcastle United,NEW,1.0,32 years 106 days,England,1.0
2024/25,277082.0,Wes Burns,Wes,Burns,F,n/a,Right Winger,Ipswich Town,IPS,1.0,29 years 274 days,Wales,1.0
2024/25,345054.0,Moisés Caicedo,Moisés,Caicedo,M,25.0,Centre Defensive Midfielder,Chelsea,CHE,1.0,22 years 295 days,Ecuador,1.0
2024/25,19302.0,Tom Cairney,Tom,Cairney,M,10.0,Left/Centre/Right Attacking Midfielder,Fulham,FUL,1.0,33 years 216 days,Scotland,1.0
2024/25,41062.0,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,F,9.0,Centre Striker,Everton,EVE,1.0,27 years 160 days,England,1.0
2024/25,344342.0,Matheus Cunha,Matheus Santos,Carneiro da Cunha,F,12.0,Striker,Wolverhampton Wanderers,WOL,1.0,25 years 88 days,Brazil,1.0
2024/25,211499.0,Matty Cash,Matty,Cash,D,2.0,Right Full Back,Aston Villa,AVL,1.0,27 years 16 days,Poland,1.0
2024/25,323846.0,Casemiro,Carlos Henrique,Casimiro,M,18.0,Centre Central Midfielder,Manchester United,MUN,1.0,32 years 182 days,Brazil,1.0
2024/25,263914.0,Daniel Podence,Daniel,Castelo Podence,M,56.0,Left Winger,Wolverhampton Wanderers,WOL,1.0,28 years 307 days,Portugal,1.0
2024/25,283726.0,Conor Chaplin,Conor,Chaplin,F,10.0,Centre Striker,Ipswich Town,IPS,1.0,27 years 189 days,England,1.0
2024/25,288967.0,Ryan Christie,Ryan,Christie,M,10.0,Left/Centre/Right Attacking Midfielder,Bournemouth,BOU,1.0,29 years 183 days,Scotland,1.0
2024/25,340957.0,Nathan Collins,Nathan,Collins,D,22.0,Centre Central Defender,Brentford,BRE,1.0,23 years 115 days,Ireland,1.0
2024/25,323026.0,Levi Colwill,Levi,Colwill,D,n/a,Centre Central Defender,Chelsea,CHE,1.0,21 years 179 days,England,1.0
2024/25,294324.0,Lewis Cook,Lewis,Cook,M,n/a,Midfielder,Bournemouth,BOU,1.0,27 years 202 days,England,1.0
2024/25,346775.0,Murillo,Murillo Santiago,Costa dos Santos,D,5.0,Left/Centre Central Defender,Nottingham Forest,NFO,1.0,22 years 50 days,Brazil,1.0
2024/25,258090.0,Vladimír Coufal,Vladimír,Coufal,D,5.0,Right Full Back,West Ham United,WHU,1.0,32 years 1 day,Czech Republic,1.0
2024/25,322024.0,Marc Cucurella,Marc,Cucurella,D,3.0,Left Wing Back,Chelsea,CHE,1.0,26 years 32 days,Spain,1.0
2024/25,258769.0,Diogo Dalot,José Diogo,Dalot Teixeira,D,5.0,Right Full Back,Manchester United,MUN,1.0,25 years 158 days,Portugal,1.0
