Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Appearances,Age,Nationality,Rank
2023/24,356767.0,Pablo Fornals,Pablo,Fornals,M,18.0,Attacking Midfielder,n/a,n/a,15.0,28 years 183 days,Spain,350.0
2023/24,359359.0,Ben Godfrey,Ben,Godfrey,D,5.0,Centre Central Defender,n/a,n/a,15.0,26 years 221 days,England,350.0
2023/24,342995.0,Luca Koleosho,Luca,Koleosho,F,30.0,Right Winger,Burnley,BUR,15.0,19 years 343 days,Italy,350.0
2023/24,340458.0,James Milner,James,Milner,M,6.0,Left/Centre/Right Central Midfielder,Brighton & Hove Albion,BHA,15.0,38 years 232 days,England,350.0
2023/24,353831.0,Reiss Nelson,Reiss,Nelson,M,n/a,Left/Centre/Right Winger,Arsenal,ARS,15.0,24 years 257 days,England,350.0
2023/24,313738.0,Nick Pope,Nick,Pope,G,22.0,Goalkeeper,Newcastle United,NEW,15.0,32 years 126 days,England,350.0
2023/24,336893.0,Adam Webster,Adam,Webster,D,4.0,Defender,Brighton & Hove Albion,BHA,15.0,29 years 232 days,England,350.0
2023/24,300080.0,Oscar Bobb,Oscar,Bobb,M,52.0,Left/Centre/Right Winger,Manchester City,MCI,14.0,21 years 42 days,Norway,361.0
2023/24,362065.0,Ben Brereton,Ben,Brereton,F,17.0,Left Winger,Sheffield United,SHU,14.0,25 years 127 days,Chile,361.0
2023/24,358596.0,Arnaut Danjuma,Arnaut,Danjuma,F,n/a,Forward,n/a,n/a,14.0,27 years 205 days,Netherlands,361.0
2023/24,361626.0,Ben Johnson,Ben,Johnson,D,18.0,Right Full Back,n/a,n/a,14.0,24 years 212 days,England,361.0
2023/24,362873.0,Zanka,Mathias,Jørgensen,D,13.0,Centre Central Defender,n/a,n/a,14.0,34 years 122 days,Denmark,361.0
2023/24,346785.0,Clément Lenglet,Clément,Lenglet,D,17.0,Left/Centre Central Defender,n/a,n/a,14.0,29 years 67 days,France,361.0
2023/24,202656.0,Tom Lockyer,Tom,Lockyer,D,4.0,Centre Central Defender,Luton Town,LUT,14.0,29 years 264 days,Wales,361.0
2023/24,345854.0,Gonzalo Montiel,Gonzalo,Montiel,D,29.0,Right Full Back,n/a,n/a,14.0,27 years 235 days,Argentina,361.0
2023/24,341034.0,Mason Mount,Mason,Mount,M,7.0,Centre Attacking Midfielder,Manchester United,MUN,14.0,25 years 226 days,England,361.0
2023/24,258869.0,Thomas Partey,Thomas,Partey,M,5.0,Centre Defensive Midfielder,Arsenal,ARS,14.0,31 years 71 days,Ghana,361.0
2023/24,345764.0,Aaron Ramsey,Aaron,Ramsey,M,21.0,Centre Attacking Midfielder,Burnley,BUR,14.0,21 years 215 days,England,361.0
2023/24,356760.0,Connor Roberts,Connor,Roberts,D,33.0,Right Full Back,Burnley,BUR,14.0,28 years 335 days,Wales,361.0
2023/24,314795.0,Kenny Tete,Kenny,Tete,D,n/a,Right Full Back,Fulham,FUL,14.0,28 years 319 days,Netherlands,361.0
2023/24,336268.0,Ameen Al Dakhil,Ameen,Al Dakhil,D,28.0,Central Defender,Burnley,BUR,13.0,22 years 170 days,Belgium,374.0
2023/24,356788.0,Carlos Vinícius,Carlos Vinícius,Alves Morais,F,95.0,Centre Striker,n/a,n/a,13.0,29 years 151 days,Brazil,374.0
2023/24,53174.0,George Baldock,George,Baldock,D,2.0,Right Full Back,Sheffield United,SHU,13.0,31 years 167 days,Greece,374.0
2023/24,360571.0,Saïd Benrahma,Saïd,Benrahma,F,17.0,Left Winger,n/a,n/a,13.0,29 years 13 days,Algeria,374.0
2023/24,349661.0,Rhian Brewster,Rhian,Brewster,F,n/a,Centre Striker,Sheffield United,SHU,13.0,24 years 144 days,England,374.0
2023/24,356534.0,David Brooks,David,Brooks,M,36.0,Left/Centre/Right Attacking Midfielder,Bournemouth,BOU,13.0,27 years 46 days,Wales,374.0
2023/24,325150.0,Trevoh Chalobah,Trevoh,Chalobah,D,14.0,Centre Central Defender,Chelsea,CHE,13.0,25 years 49 days,England,374.0
2023/24,325151.0,Ben Chilwell,Ben,Chilwell,D,21.0,Left Full Back,Chelsea,CHE,13.0,27 years 246 days,England,374.0
2023/24,301809.0,Anthony Martial,Anthony,Martial,F,22.0,Left/Centre/Right Striker,n/a,n/a,13.0,28 years 262 days,France,374.0
2023/24,342475.0,Marvelous Nakamba,Marvelous,Nakamba,M,13.0,Defensive Midfielder,Luton Town,LUT,13.0,30 years 217 days,Zimbabwe,374.0
2023/24,96853.0,Matt Ritchie,Matt,Ritchie,M,30.0,Left/Right Wing Back,n/a,n/a,13.0,34 years 348 days,Scotland,374.0
2023/24,362162.0,Emile Smith Rowe,Emile,Smith Rowe,M,32.0,Centre Attacking Midfielder,n/a,n/a,13.0,24 years 26 days,England,374.0
2023/24,187644.0,Kostas Tsimikas,Kostas,Tsimikas,D,21.0,Left Full Back,Liverpool,LIV,13.0,28 years 103 days,Greece,374.0
2023/24,355268.0,Timo Werner,Timo,Werner,F,16.0,Centre Striker,Tottenham Hotspur,TOT,13.0,28 years 170 days,Germany,374.0
2023/24,357712.0,Oliver Arblaster,Oliver,Arblaster,M,n/a,Centre Central Midfielder,Sheffield United,SHU,12.0,20 years 110 days,England,388.0
2023/24,356787.0,Sèrge Aurier,Sèrge,Aurier,D,92.0,Right Full Back,n/a,n/a,12.0,31 years 243 days,Cote D’Ivoire,388.0
2023/24,349565.0,Santiago Bueno,Santiago,Bueno,D,5.0,Defender,Wolverhampton Wanderers,WOL,12.0,25 years 288 days,Uruguay,388.0
2023/24,94007.0,Séamus Coleman,Séamus,Coleman,D,n/a,Right Full Back,Everton,EVE,12.0,35 years 317 days,Ireland,388.0
2023/24,345763.0,Hannes Delcroix,Hannes,Delcroix,D,44.0,Defender,Burnley,BUR,12.0,25 years 177 days,Belgium,388.0
2023/24,362468.0,Lewis Dobbin,Lewis,Dobbin,F,19.0,Left/Centre/Right Winger,n/a,n/a,12.0,21 years 233 days,England,388.0
2023/24,312805.0,Julio Enciso,Julio,Enciso,M,10.0,Left/Centre Attacking Midfielder,Brighton & Hove Albion,BHA,12.0,20 years 213 days,Paraguay,388.0
2023/24,335797.0,Jack Hinshelwood,Jack,Hinshelwood,M,41.0,Centre Defensive Midfielder,Brighton & Hove Albion,BHA,12.0,19 years 134 days,England,388.0
2023/24,323012.0,Cheikhou Kouyaté,Cheikhou,Kouyaté,M,8.0,Centre Defensive Midfielder,n/a,n/a,12.0,34 years 246 days,Senegal,388.0
2023/24,359330.0,Ian Maatsen,Ian,Maatsen,D,22.0,Left Full Back,n/a,n/a,12.0,22 years 166 days,Netherlands,388.0
2023/24,362854.0,Kalvin Phillips,Kalvin,Phillips,M,8.0,Centre Defensive Midfielder,n/a,n/a,12.0,28 years 265 days,England,388.0
2023/24,342564.0,Nathan Redmond,Nathan,Redmond,M,15.0,Left/Right Winger,Burnley,BUR,12.0,30 years 170 days,England,388.0
2023/24,14011.0,Luke Shaw,Luke,Shaw,D,23.0,Left Full Back,Manchester United,MUN,12.0,29 years 42 days,England,388.0
2023/24,354251.0,André Gomes,André Filipe,Tavares Gomes,M,n/a,Midfielder,n/a,n/a,12.0,31 years 24 days,Portugal,388.0
2023/24,356341.0,Luke Thomas,Luke,Thomas,D,33.0,Left Full Back,n/a,n/a,12.0,23 years 74 days,England,388.0
2023/24,362963.0,Lesley Ugochukwu,Lesley,Ugochukwu,M,n/a,Centre Defensive Midfielder,n/a,n/a,12.0,20 years 150 days,France,388.0
2023/24,349256.0,Conor Bradley,Conor,Bradley,D,84.0,Right Full Back,Liverpool,LIV,11.0,21 years 45 days,Northern Ireland,404.0
2023/24,345085.0,Cesare Casadei,Cesare,Casadei,M,7.0,Midfielder,n/a,n/a,11.0,21 years 226 days,Italy,404.0
2023/24,14131.0,Aaron Cresswell,Aaron,Cresswell,D,3.0,Left Full Back,West Ham United,WHU,11.0,34 years 252 days,England,404.0
2023/24,316524.0,Cheick Doucouré,Cheick,Doucouré,M,28.0,Centre Defensive Midfielder,Crystal Palace,CRY,11.0,24 years 228 days,Mali,404.0
2023/24,313032.0,Fábio Vieira,Fábio Daniel,Ferreira Vieira,M,21.0,Centre Attacking Midfielder,Arsenal,ARS,11.0,24 years 85 days,Portugal,404.0
2023/24,361997.0,Bryan Gil,Bryan,Gil,F,20.0,Left Winger,n/a,n/a,11.0,23 years 194 days,Spain,404.0
2023/24,362512.0,Alfie Gilchrist,Alfie,Gilchrist,D,2.0,Centre Central Defender,n/a,n/a,11.0,20 years 269 days,England,404.0
2023/24,356508.0,Ryan Giles,Ryan,Giles,D,3.0,Left Full Back,n/a,n/a,11.0,24 years 210 days,England,404.0
2023/24,355256.0,Sasa Kalajdzic,Sasa,Kalajdzic,F,9.0,Centre Striker,Wolverhampton Wanderers,WOL,11.0,27 years 47 days,Austria,404.0
2023/24,362148.0,Yasser Larouci,Yasser,Larouci,D,37.0,Left Full Back,Sheffield United,SHU,11.0,23 years 235 days,Algeria,404.0
2023/24,318813.0,Lisandro Martínez,Lisandro,Martínez,D,6.0,Central Defender,Manchester United,MUN,11.0,26 years 218 days,Argentina,404.0
2023/24,340570.0,Christopher Nkunku,Christopher,Nkunku,F,18.0,Left/Centre Second Striker,Chelsea,CHE,11.0,26 years 283 days,France,404.0
2023/24,322089.0,Angelo Ogbonna,Angelo,Ogbonna,D,n/a,Central Defender,n/a,n/a,11.0,36 years 92 days,Italy,404.0
2023/24,347496.0,Andrew Omobamidele,Andrew,Omobamidele,D,12.0,Centre Central Defender,Nottingham Forest,NFO,11.0,22 years 61 days,Ireland,404.0
2023/24,356584.0,Morgan Rogers,Morgan,Rogers,F,27.0,Left Winger,Aston Villa,AVL,11.0,22 years 28 days,England,404.0
2023/24,360737.0,Joe Rothwell,Joe,Rothwell,M,8.0,Central Midfielder,n/a,n/a,11.0,29 years 225 days,England,404.0
2023/24,340456.0,Kevin Schade,Kevin,Schade,M,7.0,Left/Right Winger,Brentford,BRE,11.0,22 years 270 days,Germany,404.0
2023/24,360330.0,Shandon Baptiste,Shandon,Baptiste,M,26.0,Central Midfielder,n/a,n/a,10.0,26 years 137 days,Grenada,421.0
2023/24,129917.0,Lukasz Fabianski,Lukasz,Fabianski,G,1.0,Goalkeeper,West Ham United,WHU,10.0,39 years 127 days,Poland,421.0
2023/24,351453.0,Matheus França,Matheus,França de Oliveira,F,n/a,Forward,Crystal Palace,CRY,10.0,20 years 144 days,Brazil,421.0
2023/24,356532.0,Daiki Hashioka,Daiki,Hashioka,D,27.0,Right Full Back,Luton Town,LUT,10.0,25 years 98 days,Japan,421.0
2023/24,357711.0,Mason Holgate,Mason,Holgate,D,5.0,Defender,Sheffield United,SHU,10.0,27 years 306 days,England,421.0
2023/24,52087.0,Reece James,Reece,James,D,24.0,Right Full Back,Chelsea,CHE,10.0,24 years 259 days,England,421.0
2023/24,256028.0,Caoimhín Kelleher,Caoimhín,Kelleher,G,62.0,Goalkeeper,Liverpool,LIV,10.0,25 years 274 days,Ireland,421.0
2023/24,359397.0,Max Lowe,Max,Lowe,D,3.0,Left Full Back,Sheffield United,SHU,10.0,27 years 104 days,England,421.0
2023/24,43049.0,Joël Matip,Joël,Matip,D,32.0,Centre Central Defender,n/a,n/a,10.0,33 years 15 days,Cameroon,421.0
2023/24,153012.0,Chris Mepham,Chris,Mepham,D,6.0,Centre Central Defender,Bournemouth,BOU,10.0,26 years 292 days,Wales,421.0
2023/24,361625.0,Arijanet Muric,Arijanet,Muric,G,1.0,Goalkeeper,Burnley,BUR,10.0,25 years 290 days,Kosovo,421.0
2023/24,321940.0,Carney Chukwuemeka,Carney,Chukwuemeka,M,17.0,Centre Central Midfielder,Chelsea,CHE,9.0,20 years 308 days,England,432.0
2023/24,340566.0,Mahmoud Dahoud,Mahmoud,Dahoud,M,35.0,Centre Central Midfielder,Brighton & Hove Albion,BHA,9.0,28 years 235 days,Syria,432.0
2023/24,345098.0,Tom Davies,Tom,Davies,M,22.0,Midfielder,Sheffield United,SHU,9.0,26 years 54 days,England,432.0
2023/24,328378.0,Amad Diallo,Amad,Diallo,F,n/a,Forward,Manchester United,MUN,9.0,22 years 43 days,Cote D’Ivoire,432.0
2023/24,355333.0,Radu Dragusin,Radu,Dragusin,D,6.0,Left/Centre/Right Central Defender,Tottenham Hotspur,TOT,9.0,22 years 202 days,Romania,432.0
2023/24,356312.0,Ivo Grbic,Ivo,Grbic,G,13.0,Goalkeeper,Sheffield United,SHU,9.0,28 years 218 days,Croatia,432.0
2023/24,336323.0,Aaron Hickey,Aaron,Hickey,D,n/a,Left Full Back,Brentford,BRE,9.0,22 years 74 days,Scotland,432.0
2023/24,359184.0,Tim Iroegbunam,Tim,Iroegbunam,M,42.0,Centre Central Midfielder,n/a,n/a,9.0,21 years 54 days,England,432.0
2023/24,48260.0,Michael Keane,Michael,Keane,D,5.0,Centre Central Defender,Everton,EVE,9.0,31 years 225 days,England,432.0
2023/24,314465.0,Stefan Ortega,Stefan,Ortega,G,18.0,Goalkeeper,Manchester City,MCI,9.0,31 years 291 days,Germany,432.0
2023/24,361636.0,David Ozoh,David,Ozoh,M,4.0,Midfielder,n/a,n/a,9.0,19 years 109 days,England,432.0
2023/24,356579.0,Facundo Pellistri,Facundo,Pellistri,M,19.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,9.0,22 years 247 days,Uruguay,432.0
2023/24,356576.0,Giovanni Reyna,Giovanni,Reyna,M,20.0,Attacking Midfielder,n/a,n/a,9.0,21 years 284 days,United States,432.0
2023/24,362847.0,Jairo Riedewald,Jairo,Riedewald,M,4.0,Centre Defensive Midfielder,n/a,n/a,9.0,27 years 349 days,Netherlands,432.0
2023/24,287383.0,Joe Willock,Joe,Willock,M,28.0,Centre Attacking Midfielder,Newcastle United,NEW,9.0,25 years 3 days,England,432.0
2023/24,354406.0,Mads Andersen,Mads,Andersen,D,n/a,Centre Central Defender,Luton Town,LUT,8.0,26 years 240 days,Denmark,447.0
2023/24,15123.0,Chris Basham,Chris,Basham,D,6.0,Centre Central Defender,Sheffield United,SHU,8.0,36 years 34 days,England,447.0
2023/24,321994.0,Manuel Benson,Manuel,Benson Hedilazio,F,10.0,Forward,Burnley,BUR,8.0,27 years 148 days,Angola,447.0
2023/24,349062.0,Tawanda Chirewa,Tawanda,Chirewa,M,28.0,Midfielder,Wolverhampton Wanderers,WOL,8.0,20 years 317 days,Zimbabwe,447.0
2023/24,356422.0,Leander Dendoncker,Leander,Dendoncker,M,32.0,Centre Central Midfielder,Aston Villa,AVL,8.0,29 years 130 days,Belgium,447.0
2023/24,336873.0,Hjalmar Ekdal,Hjalmar,Ekdal,D,18.0,Centre Central Defender,Burnley,BUR,8.0,25 years 307 days,Sweden,447.0
2023/24,361020.0,Willy Kambwala,Willy,Kambwala,D,5.0,Centre Central Defender,n/a,n/a,8.0,19 years 364 days,France,447.0
2023/24,361026.0,Kieffer Moore,Kieffer,Moore,F,9.0,Centre Striker,n/a,n/a,8.0,32 years 15 days,Wales,447.0
2023/24,359463.0,Michael Olakigbe,Michael,Olakigbe,M,11.0,Right Winger,n/a,n/a,8.0,20 years 120 days,England,447.0
2023/24,343351.0,Fred Onyedinma,Fred,Onyedinma,M,14.0,Left/Centre/Right Attacking Midfielder,Luton Town,LUT,8.0,27 years 273 days,Nigeria,447.0
2023/24,354818.0,Fábio Silva,Fábio Daniel,Soares Silva,F,7.0,Centre Striker,n/a,n/a,8.0,22 years 35 days,Portugal,447.0
2023/24,340940.0,Sandro Tonali,Sandro,Tonali,M,8.0,Centre Defensive Midfielder,Newcastle United,NEW,8.0,24 years 107 days,Italy,447.0
2023/24,342366.0,Bénie Traoré,Bénie,Traoré,F,11.0,Striker,Sheffield United,SHU,8.0,21 years 267 days,Cote D’Ivoire,447.0
2023/24,361463.0,Nuno Tavares,Nuno Albertino,Varela Tavares,D,30.0,Left Full Back,n/a,n/a,8.0,24 years 210 days,Portugal,447.0
2023/24,362513.0,Alejo Véliz,Alejo,Véliz,F,9.0,Striker,n/a,n/a,8.0,20 years 339 days,Argentina,447.0
2023/24,322418.0,Maxwel Cornet,Maxwel,Cornet,F,22.0,Winger,West Ham United,WHU,7.0,27 years 331 days,Cote D’Ivoire,462.0
2023/24,360753.0,Felipe,Felipe Augusto,de Almeida Monteiro,D,n/a,Centre Central Defender,n/a,n/a,7.0,35 years 99 days,Brazil,462.0
2023/24,330729.0,Nathan Fraser,Nathan,Fraser,F,63.0,Centre Striker,n/a,n/a,7.0,19 years 183 days,Ireland,462.0
2023/24,32140.0,Solly March,Solly,March,M,7.0,Left/Centre/Right Attacking Midfielder,Brighton & Hove Albion,BHA,7.0,30 years 34 days,England,462.0
2023/24,363206.0,Joe Worrall,Joe,Worrall,D,n/a,Centre Central Defender,n/a,n/a,7.0,27 years 226 days,England,462.0
2023/24,347495.0,Fodé Ballo-Touré,Fodé,Ballo-Touré,D,12.0,Left Full Back,n/a,n/a,6.0,27 years 233 days,Senegal,467.0
2023/24,356034.0,Valentín Barco,Valentín,Barco,D,19.0,Left Wing Back,Brighton & Hove Albion,BHA,6.0,20 years 31 days,Argentina,467.0
2023/24,133133.0,John Egan,John,Egan,D,12.0,Centre Central Defender,Sheffield United,SHU,6.0,31 years 308 days,Ireland,467.0
2023/24,360742.0,Sergio Gómez,Sergio,Gómez,D,17.0,Attacking Midfielder,n/a,n/a,6.0,23 years 354 days,Spain,467.0
2023/24,362954.0,Jesurun Rak-Sakyi,Jesurun,Rak-Sakyi,M,11.0,Left/Right Winger,n/a,n/a,6.0,21 years 323 days,England,467.0
2023/24,288169.0,Aaron Ramsdale,Aaron,Ramsdale,G,1.0,Goalkeeper,Arsenal,ARS,6.0,26 years 101 days,England,467.0
2023/24,356759.0,Anass Zaroury,Anass,Zaroury,F,47.0,Left/Right Winger,n/a,n/a,6.0,23 years 290 days,Morocco,467.0
2023/24,362536.0,Benicio Baker-Boaitey,Benicio,Baker-Boaitey,F,37.0,Winger,n/a,n/a,5.0,20 years 227 days,England,474.0
2023/24,353590.0,Dan Bentley,Dan,Bentley,G,25.0,Goalkeeper,Wolverhampton Wanderers,WOL,5.0,31 years 41 days,England,474.0
2023/24,360824.0,Calum Chambers,Calum,Chambers,D,12.0,Defender,n/a,n/a,5.0,29 years 216 days,England,474.0
2023/24,323159.0,Bobby Clark,Bobby,Clark,M,42.0,Centre Central Midfielder,n/a,n/a,5.0,19 years 198 days,England,474.0
2023/24,176689.0,Paul Dummett,Paul,Dummett,D,n/a,Defender,n/a,n/a,5.0,32 years 332 days,Wales,474.0
2023/24,362979.0,Romain Faivre,Romain,Faivre,M,21.0,Centre Central Midfielder,n/a,n/a,5.0,26 years 40 days,France,474.0
2023/24,36581.0,Rico Henry,Rico,Henry,D,3.0,Left Full Back,Brentford,BRE,5.0,27 years 46 days,England,474.0
2023/24,346782.0,James Hill,James,Hill,D,4.0,Centre Central Defender,Bournemouth,BOU,5.0,22 years 226 days,England,474.0
2023/24,362576.0,Scott McKenna,Scott,McKenna,D,15.0,Centre Central Defender,n/a,n/a,5.0,27 years 285 days,Scotland,474.0
2023/24,355705.0,Hannibal Mejbri,Hannibal,Mejbri,M,46.0,Centre Attacking Midfielder,Manchester United,MUN,5.0,21 years 215 days,Tunisia,474.0
2023/24,360614.0,Divin Mubama,Divin,Mubama,F,45.0,Centre Striker,n/a,n/a,5.0,19 years 303 days,England,474.0
2023/24,267500.0,Rhys Norrington-Davies,Rhys,Norrington-Davies,D,46.0,Left Full Back,Sheffield United,SHU,5.0,25 years 123 days,Wales,474.0
2023/24,312582.0,Robin Olsen,Robin,Olsen,G,25.0,Goalkeeper,Aston Villa,AVL,5.0,34 years 228 days,Sweden,474.0
2023/24,356049.0,Ivan Perisic,Ivan,Perisic,F,4.0,Forward,n/a,n/a,5.0,35 years 203 days,Croatia,474.0
2023/24,341838.0,Manor Solomon,Manor,Solomon,F,27.0,Left Winger,Tottenham Hotspur,TOT,5.0,25 years 30 days,Israel,474.0
2023/24,359412.0,Odysseas Vlachodimos,Odysseas,Vlachodimos,G,19.0,Goalkeeper,n/a,n/a,5.0,30 years 119 days,Greece,474.0
2023/24,49709.0,Jack Cork,Jack,Cork,M,4.0,Centre Central Midfielder,Burnley,BUR,4.0,35 years 59 days,England,490.0
2023/24,359602.0,Eric Dier,Eric,Dier,D,15.0,Centre Central Defender,n/a,n/a,4.0,30 years 221 days,England,490.0
2023/24,356583.0,Rodrigo Ribeiro,Rodrigo,Duarte Ribeiro,F,37.0,Centre Striker,n/a,n/a,4.0,19 years 117 days,Portugal,490.0
2023/24,356762.0,John Fleck,John,Fleck,M,23.0,Centre Central Midfielder,n/a,n/a,4.0,32 years 365 days,Scotland,490.0
2023/24,362696.0,Omari Forson,Omari,Forson,F,20.0,Right Winger,n/a,n/a,4.0,20 years 34 days,England,490.0
2023/24,359784.0,Thilo Kehrer,Thilo,Kehrer,D,5.0,Centre/Right Central Defender,n/a,n/a,4.0,27 years 337 days,Germany,490.0
2023/24,360607.0,Odeluga Offiah,Odeluga,Offiah,D,42.0,Left/Centre/Right Central Defender,n/a,n/a,4.0,21 years 302 days,England,490.0
2023/24,362767.0,Dane Scarlett,Dane,Scarlett,F,44.0,Centre Striker,n/a,n/a,4.0,20 years 152 days,England,490.0
2023/24,51519.0,James Tomkins,James,Tomkins,D,5.0,Defender,n/a,n/a,4.0,35 years 147 days,England,490.0
2023/24,343141.0,Mark Travers,Mark,Travers,G,1.0,Goalkeeper,Bournemouth,BOU,4.0,25 years 97 days,Ireland,490.0
2023/24,357325.0,Joe White,Joe,White,M,40.0,Attacking Midfielder,Newcastle United,NEW,4.0,21 years 327 days,England,490.0
2023/24,345193.0,Tyler Adams,Tyler,Adams,M,18.0,Midfielder,Bournemouth,BOU,3.0,25 years 191 days,United States,501.0
2023/24,337933.0,Cédric Soares,Cédric Ricardo,Alves Soares,D,12.0,Right Full Back,n/a,n/a,3.0,32 years 358 days,Portugal,501.0
2023/24,347503.0,Jaidon Anthony,Jaidon,Anthony,F,12.0,Forward,Bournemouth,BOU,3.0,24 years 266 days,England,501.0
2023/24,358209.0,Leon Chiwome,Leon,Chiwome,F,84.0,Forward,n/a,n/a,3.0,18 years 226 days,England,501.0
2023/24,135989.0,Josh Dasilva,Josh,Dasilva,M,10.0,Left/Right Winger,Brentford,BRE,3.0,25 years 305 days,England,501.0
2023/24,362973.0,Jamie Donley,Jamie,Donley,F,17.0,Forward,n/a,n/a,3.0,19 years 233 days,England,501.0
2023/24,362843.0,George Earthy,George,Earthy,M,40.0,Midfielder,n/a,n/a,3.0,19 years 353 days,England,501.0
2023/24,163773.0,Mohamed Elneny,Mohamed Naser,Elsayed Elneny,M,15.0,Centre Defensive Midfielder,n/a,n/a,3.0,32 years 43 days,Egypt,501.0
2023/24,362509.0,Kaine Kesler-Hayden,Kaine,Kesler-Hayden,D,29.0,Right Full Back,n/a,n/a,3.0,21 years 305 days,England,501.0
2023/24,349631.0,Han-Noah Massengo,Han-Noah,Massengo,D,2.0,Defender,Burnley,BUR,3.0,23 years 47 days,France,501.0
2023/24,288900.0,James McConnell,James,McConnell,M,53.0,Centre Striker,n/a,n/a,3.0,19 years 345 days,England,501.0
2023/24,353755.0,Mark O’Mahony,Mark,O’Mahony,F,51.0,Centre Striker,Brighton & Hove Albion,BHA,3.0,19 years 222 days,Ireland,501.0
2023/24,356219.0,Myles Peart-Harris,Myles,Peart-Harris,M,44.0,Centre Attacking Midfielder,Brentford,BRE,3.0,21 years 340 days,England,501.0
2023/24,355322.0,Jadon Sancho,Jadon,Sancho,F,10.0,Left/Right Winger,Manchester United,MUN,3.0,24 years 151 days,England,501.0
2023/24,363001.0,Matt Targett,Matt,Targett,D,n/a,Left Full Back,Newcastle United,NEW,3.0,28 years 340 days,England,501.0
2023/24,355772.0,Hamed Traorè,Hamed,Traorè,M,8.0,Centre Attacking Midfielder,Bournemouth,BOU,3.0,24 years 189 days,Cote D’Ivoire,501.0
2023/24,345760.0,Ethan Wheatley,Ethan,Wheatley,F,36.0,Centre Striker,Manchester United,MUN,3.0,18 years 216 days,England,501.0
2023/24,362952.0,Mason Burstow,Mason,Burstow,F,48.0,Striker,n/a,n/a,2.0,21 years 19 days,England,518.0
2023/24,312585.0,Philippe Coutinho,Philippe,Coutinho Correia,M,23.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,2.0,32 years 72 days,Brazil,518.0
2023/24,357616.0,Jayden Danns,Jayden,Danns,F,76.0,Forward,n/a,n/a,2.0,18 years 220 days,England,518.0
2023/24,349067.0,Deivid Washington,Deivid Washington,de Souza Eugênio,F,n/a,Centre Striker,Chelsea,CHE,2.0,19 years 79 days,Brazil,518.0
2023/24,356653.0,Antwoine Hackford,Antwoine,Hackford,F,32.0,Centre Striker,Sheffield United,SHU,2.0,20 years 156 days,England,518.0
2023/24,348989.0,Joe Johnson,Joe,Johnson,D,n/a,Defender,Luton Town,LUT,2.0,18 years 184 days,England,518.0
2023/24,359402.0,Omari Kellyman,Omari,Kellyman,F,37.0,Centre/Right Attacking Midfielder,n/a,n/a,2.0,18 years 343 days,England,518.0
2023/24,322949.0,Mikey Moore,Mikey,Moore,F,17.0,Left Winger,n/a,n/a,2.0,17 years 12 days,England,518.0
2023/24,342565.0,Alex Murphy,Alex,Murphy,D,37.0,Central Defender,Newcastle United,NEW,2.0,20 years 59 days,Ireland,518.0
2023/24,353592.0,Zack Nelson,Zack,Nelson,M,8.0,Midfielder,Luton Town,LUT,2.0,19 years 124 days,England,518.0
2023/24,363211.0,Michael Obafemi,Michael,Obafemi,F,n/a,Forward,n/a,n/a,2.0,24 years 48 days,Ireland,518.0
2023/24,343284.0,Andrei Radu,Andrei,Radu,G,20.0,Goalkeeper,n/a,n/a,2.0,27 years 87 days,Romania,518.0
2023/24,318212.0,Thomas Strakosha,Thomas,Strakosha,G,21.0,Goalkeeper,n/a,n/a,2.0,29 years 157 days,Albania,518.0
2023/24,358671.0,Jurriën Timber,Jurriën,Timber,D,n/a,Defender,Arsenal,ARS,2.0,23 years 67 days,Netherlands,518.0
2023/24,360932.0,Bertrand Traoré,Bertrand,Traoré,F,20.0,Left/Right Winger,n/a,n/a,2.0,28 years 352 days,Burkina Faso,518.0
2023/24,358241.0,Josh Acheampong,Josh,Acheampong,D,34.0,Right Full Back,Chelsea,CHE,1.0,18 years 110 days,England,533.0
2023/24,356650.0,Brandon Aguilera,Brandon,Aguilera,M,10.0,Midfielder,n/a,n/a,1.0,21 years 56 days,Costa Rica,533.0
2023/24,255615.0,Thiago Alcântara,Thiago,Alcântara,M,6.0,Centre Central Midfielder,n/a,n/a,1.0,33 years 134 days,Spain,533.0
2023/24,322290.0,Stefan Bajcetic,Stefan,Bajcetic,M,43.0,Centre Central Midfielder,Liverpool,LIV,1.0,19 years 306 days,Spain,533.0
2023/24,325422.0,Owen Beck,Owen,Beck,D,30.0,Left Full Back,n/a,n/a,1.0,22 years 14 days,Wales,533.0
2023/24,346834.0,Thomas Cannon,Thomas,Cannon,F,28.0,Centre Striker,n/a,n/a,1.0,21 years 239 days,Ireland,533.0
2023/24,260818.0,Kaelan Casey,Kaelan,Casey,D,42.0,Centre Central Defender,n/a,n/a,1.0,19 years 300 days,England,533.0
2023/24,356522.0,Jonny,Jonathan,Castro Otto,D,19.0,Defender,n/a,n/a,1.0,30 years 173 days,Spain,533.0
2023/24,362370.0,Sam Curtis,Sam,Curtis,D,2.0,Full Back,Sheffield United,SHU,1.0,18 years 266 days,Ireland,533.0
2023/24,343760.0,Amadou Diallo,Amadou,Diallo,F,49.0,Forward,n/a,n/a,1.0,21 years 190 days,England,533.0
2023/24,328319.0,Ben Doak,Ben,Doak,F,50.0,Right Winger,Liverpool,LIV,1.0,18 years 286 days,Scotland,533.0
