Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Dispossessed,Age,Nationality,Rank
2020/21,337217.0,Matej Vydra,Matej,Vydra,F,11.0,Forward,Burnley,BUR,22.0,32 years 114 days,Czech Republic,99.0
2020/21,359145.0,Luke Ayling,Luke,Ayling,D,12.0,Right Full Back,n/a,n/a,21.0,32 years 364 days,England,109.0
2020/21,297850.0,Patrick Bamford,Patrick,Bamford,F,n/a,Centre Striker,Leeds United,LEE,21.0,30 years 353 days,England,109.0
2020/21,340758.0,Ashley Barnes,Ashley,Barnes,F,10.0,Centre Striker,n/a,n/a,21.0,34 years 298 days,England,109.0
2020/21,346821.0,João Cancelo,João Pedro,Cavaco Cancelo,D,2.0,Right Full Back,Manchester City,MCI,21.0,30 years 88 days,Portugal,109.0
2020/21,356767.0,Pablo Fornals,Pablo,Fornals,M,18.0,Attacking Midfielder,n/a,n/a,21.0,28 years 183 days,Spain,109.0
2020/21,194758.0,Rodrigo,Rodrigo,Moreno Machado,F,19.0,Centre Striker,n/a,n/a,21.0,33 years 170 days,Spain,109.0
2020/21,14011.0,Luke Shaw,Luke,Shaw,D,23.0,Left Full Back,Manchester United,MUN,21.0,29 years 42 days,England,109.0
2020/21,354818.0,Fábio Silva,Fábio Daniel,Soares Silva,F,7.0,Centre Striker,n/a,n/a,21.0,22 years 35 days,Portugal,109.0
2020/21,259014.0,Tomás Soucek,Tomás,Soucek,M,28.0,Centre Defensive Midfielder,West Ham United,WHU,21.0,29 years 178 days,Czech Republic,109.0
2020/21,300303.0,Ferran Torres,Ferran,Torres,F,7.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,21.0,24 years 176 days,Spain,109.0
2020/21,362816.0,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,D,29.0,Right Full Back,n/a,n/a,21.0,26 years 271 days,England,109.0
2020/21,53174.0,George Baldock,George,Baldock,D,2.0,Right Full Back,Sheffield United,SHU,20.0,31 years 167 days,Greece,120.0
2020/21,300571.0,Lucas Digne,Lucas,Digne,D,12.0,Left Full Back,n/a,n/a,20.0,31 years 34 days,France,120.0
2020/21,361468.0,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,M,23.0,Centre Defensive Midfielder,n/a,n/a,20.0,29 years 18 days,Denmark,120.0
2020/21,325193.0,Hélder Costa,Hélder Wander,Sousa de Azevedo e Costa,F,17.0,Winger,n/a,n/a,20.0,30 years 224 days,Angola,120.0
2020/21,255674.0,Diogo Jota,Diogo José,Teixeira da Silva,F,20.0,Left/Centre/Right Striker,Liverpool,LIV,20.0,27 years 263 days,Portugal,120.0
2020/21,279691.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,D,3.0,Left Full Back,n/a,n/a,19.0,23 years 78 days,Algeria,125.0
2020/21,345706.0,Pierre-Emerick Aubameyang,Pierre-Emerick,Aubameyang,F,10.0,Striker,n/a,n/a,19.0,35 years 66 days,Gabon,125.0
2020/21,15123.0,Chris Basham,Chris,Basham,D,6.0,Centre Central Defender,Sheffield United,SHU,19.0,36 years 34 days,England,125.0
2020/21,325151.0,Ben Chilwell,Ben,Chilwell,D,21.0,Left Full Back,Chelsea,CHE,19.0,27 years 246 days,England,125.0
2020/21,333228.0,Mbaye Diagne,Mbaye,Diagne,F,9.0,Centre Striker,West Bromwich Albion,WBA,19.0,32 years 300 days,Senegal,125.0
2020/21,359871.0,John Lundstram,John,Lundstram,M,5.0,Centre Central Midfielder,Sheffield United,SHU,19.0,30 years 187 days,England,125.0
2020/21,7748.0,Luka Milivojevic,Luka,Milivojevic,M,4.0,Centre Central Midfielder,n/a,n/a,19.0,33 years 138 days,Serbia,125.0
2020/21,342058.0,Declan Rice,Declan,Rice,M,41.0,Centre Central Midfielder,n/a,n/a,19.0,25 years 222 days,England,125.0
2020/21,287383.0,Joe Willock,Joe,Willock,M,28.0,Centre Attacking Midfielder,n/a,n/a,19.0,25 years 3 days,England,125.0
2020/21,255615.0,Thiago Alcântara,Thiago,Alcântara,M,6.0,Centre Central Midfielder,n/a,n/a,18.0,33 years 134 days,Spain,134.0
2020/21,349661.0,Rhian Brewster,Rhian,Brewster,F,n/a,Centre Striker,Sheffield United,SHU,18.0,24 years 144 days,England,134.0
2020/21,336747.0,Danny Ings,Danny,Ings,F,n/a,Striker,n/a,n/a,18.0,32 years 31 days,England,134.0
2020/21,343093.0,Raúl Jiménez,Raúl,Jiménez,F,7.0,Striker,n/a,n/a,18.0,33 years 110 days,Mexico,134.0
2020/21,211678.0,Allan,Allan,Marques Loureiro,M,6.0,Centre/Right Central Midfielder,n/a,n/a,18.0,33 years 228 days,Brazil,134.0
2020/21,362433.0,Oriol Romeu,Oriol,Romeu,M,14.0,Centre Defensive Midfielder,Southampton,SOU,18.0,32 years 334 days,Spain,134.0
2020/21,359652.0,Douglas Luiz,Douglas Luiz,Soares de Paulo,M,26.0,Central Midfielder,n/a,n/a,18.0,26 years 106 days,Brazil,134.0
2020/21,361345.0,Jayden Bogle,Jayden,Bogle,D,2.0,Right Full Back,Sheffield United,SHU,17.0,24 years 27 days,England,141.0
2020/21,136802.0,Moussa Djenepo,Moussa,Djenepo,M,19.0,Midfielder,n/a,n/a,17.0,26 years 69 days,Mali,141.0
2020/21,342077.0,Karlan Grant,Karlan,Grant,F,16.0,Centre Striker,West Bromwich Albion,WBA,17.0,26 years 340 days,England,141.0
2020/21,362163.0,Pascal Groß,Pascal,Groß,M,13.0,Centre Central Midfielder,n/a,n/a,17.0,33 years 69 days,Germany,141.0
2020/21,361726.0,Oliver McBurnie,Oliver,McBurnie,F,16.0,Centre Striker,Sheffield United,SHU,17.0,28 years 80 days,Scotland,141.0
2020/21,43231.0,Scott McTominay,Scott,McTominay,M,39.0,Centre Attacking Midfielder,Manchester United,MUN,17.0,27 years 259 days,Scotland,141.0
2020/21,354653.0,Aleksandar Mitrovic,Aleksandar,Mitrovic,F,9.0,Forward,n/a,n/a,17.0,29 years 342 days,Serbia,141.0
2020/21,50015.0,Kyle Walker,Kyle,Walker,D,2.0,Right Full Back,Manchester City,MCI,17.0,34 years 87 days,England,141.0
2020/21,327670.0,Dele Alli,Dele,Alli,M,11.0,Centre Attacking Midfielder,n/a,n/a,16.0,28 years 134 days,England,149.0
2020/21,129749.0,Ricardo Pereira,Ricardo Domingos,Barbosa Pereira,D,21.0,Right Full Back,Leicester City,LEI,16.0,30 years 322 days,Portugal,149.0
2020/21,258090.0,Vladimír Coufal,Vladimír,Coufal,D,5.0,Right Full Back,West Ham United,WHU,16.0,32 years 1 day,Czech Republic,149.0
2020/21,354649.0,Rúben Neves,Rúben Diogo,da Silva Neves,M,8.0,Centre Central Midfielder,n/a,n/a,16.0,27 years 163 days,Portugal,149.0
2020/21,340453.0,Alexis Mac Allister,Alexis,Mac Allister,M,10.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,16.0,25 years 243 days,Argentina,149.0
2020/21,362854.0,Kalvin Phillips,Kalvin,Phillips,M,8.0,Centre Defensive Midfielder,n/a,n/a,16.0,28 years 265 days,England,149.0
2020/21,363006.0,Ian Poveda,Ian,Poveda,F,n/a,Right Winger,n/a,n/a,16.0,24 years 196 days,Colombia,149.0
2020/21,35863.0,Hal Robson-Kanu,Hal,Robson-Kanu,F,4.0,Left/Centre/Right Second Striker,West Bromwich Albion,WBA,16.0,35 years 94 days,Wales,149.0
2020/21,30301.0,Billy Sharp,Billy,Sharp,F,14.0,Striker,n/a,n/a,16.0,38 years 200 days,England,149.0
2020/21,359638.0,Hakim Ziyech,Hakim,Ziyech,M,22.0,Centre Attacking Midfielder,n/a,n/a,16.0,31 years 157 days,Morocco,149.0
2020/21,321942.0,Ezgjan Alioski,Ezgjan,Alioski,D,6.0,Left Wing Back,n/a,n/a,15.0,32 years 193 days,North Macedonia,159.0
2020/21,315923.0,Steven Bergwijn,Steven,Bergwijn,F,7.0,Left/Right Winger,n/a,n/a,15.0,26 years 320 days,Netherlands,159.0
2020/21,325467.0,Willian,Willian,Borges da Silva,F,20.0,Left/Centre/Right Winger,n/a,n/a,15.0,36 years 14 days,Brazil,159.0
2020/21,180093.0,Josh Brownhill,Josh,Brownhill,M,8.0,Centre Central Midfielder,Burnley,BUR,15.0,28 years 248 days,England,159.0
2020/21,187393.0,Dani Ceballos,Dani,Ceballos,M,8.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,15.0,28 years 16 days,Spain,159.0
2020/21,258686.0,Ibrahima Diallo,Ibrahima,Diallo,M,27.0,Central Midfielder,Southampton,SOU,15.0,25 years 168 days,France,159.0
2020/21,260162.0,Phil Foden,Phil,Foden,M,n/a,Centre Central Midfielder,Manchester City,MCI,15.0,24 years 87 days,England,159.0
2020/21,346860.0,Jeff Hendrick,Jeff,Hendrick,M,22.0,Centre Central Midfielder,n/a,n/a,15.0,32 years 205 days,Ireland,159.0
2020/21,347498.0,Callum Hudson-Odoi,Callum,Hudson-Odoi,F,14.0,Left Winger,n/a,n/a,15.0,23 years 290 days,England,159.0
2020/21,347737.0,N'Golo Kanté,N'Golo,Kanté,M,7.0,Centre Central Midfielder,n/a,n/a,15.0,33 years 147 days,France,159.0
2020/21,177697.0,Adam Lallana,Adam,Lallana,M,10.0,Left/Centre Attacking Midfielder,n/a,n/a,15.0,36 years 105 days,England,159.0
2020/21,341051.0,Arthur Masuaku,Arthur,Masuaku,D,26.0,Left Full Back,n/a,n/a,15.0,30 years 290 days,DR Congo,159.0
2020/21,355776.0,Sergio Reguilón,Sergio,Reguilón,D,12.0,Left Full Back,Tottenham Hotspur,TOT,15.0,27 years 251 days,Spain,159.0
2020/21,340596.0,Tyler Roberts,Tyler,Roberts,F,8.0,Centre Second Striker,Leeds United,LEE,15.0,25 years 224 days,Wales,159.0
2020/21,337833.0,Jorginho,Jorge Luiz,Frello Filho,M,20.0,Centre Central Midfielder,n/a,n/a,14.0,32 years 247 days,Italy,173.0
2020/21,356746.0,Isaac Hayden,Isaac,Hayden,M,14.0,Midfielder,Newcastle United,NEW,14.0,29 years 154 days,England,173.0
2020/21,300156.0,James Justin,James,Justin,D,n/a,Defender,Leicester City,LEI,14.0,26 years 182 days,England,173.0
2020/21,315209.0,Giovani Lo Celso,Giovani,Lo Celso,M,17.0,Centre Attacking Midfielder,n/a,n/a,14.0,28 years 136 days,Argentina,173.0
2020/21,42220.0,Wilfred Ndidi,Wilfred,Ndidi,M,6.0,Centre Central Midfielder,Leicester City,LEI,14.0,27 years 251 days,Nigeria,173.0
2020/21,288560.0,Moussa Sissoko,Moussa,Sissoko,M,17.0,Centre/Right Central Midfielder,n/a,n/a,14.0,35 years 7 days,France,173.0
2020/21,346152.0,Kieran Tierney,Kieran,Tierney,D,17.0,Left Full Back,Arsenal,ARS,14.0,27 years 79 days,Scotland,173.0
2020/21,345007.0,James Ward-Prowse,James,Ward-Prowse,M,8.0,Central Midfielder,n/a,n/a,14.0,29 years 296 days,England,173.0
2020/21,356787.0,Sèrge Aurier,Sèrge,Aurier,D,92.0,Right Full Back,n/a,n/a,13.0,31 years 243 days,Cote D’Ivoire,181.0
2020/21,363132.0,Sander Berge,Sander,Berge,M,16.0,Centre Central Midfielder,n/a,n/a,13.0,26 years 191 days,Norway,181.0
2020/21,211499.0,Matty Cash,Matty,Cash,D,2.0,Right Full Back,Aston Villa,AVL,13.0,27 years 16 days,Poland,181.0
2020/21,49709.0,Jack Cork,Jack,Cork,M,4.0,Centre Central Midfielder,Burnley,BUR,13.0,35 years 59 days,England,181.0
2020/21,314289.0,Willian José,Willian José,da Silva,F,12.0,Centre Striker,n/a,n/a,13.0,32 years 274 days,Brazil,181.0
2020/21,363187.0,Ilkay Gündogan,Ilkay,Gündogan,M,19.0,Centre Central Midfielder,n/a,n/a,13.0,33 years 304 days,Germany,181.0
2020/21,315554.0,Trézéguet,Mahmoud Ahmed Ibrahim,Hassan,M,10.0,Left/Right Winger,n/a,n/a,13.0,29 years 327 days,Egypt,181.0
2020/21,283441.0,Érik Lamela,Érik,Lamela,M,17.0,Left/Centre/Right Attacking Midfielder,n/a,n/a,13.0,32 years 172 days,Argentina,181.0
2020/21,343257.0,Jamal Lewis,Jamal,Lewis,D,6.0,Left Full Back,Newcastle United,NEW,13.0,26 years 211 days,Northern Ireland,181.0
2020/21,358594.0,Josh Maja,Josh,Maja,F,n/a,Striker,Fulham,FUL,13.0,25 years 240 days,Nigeria,181.0
2020/21,259569.0,Danny Welbeck,Danny,Welbeck,F,18.0,Centre Striker,Brighton & Hove Albion,BHA,13.0,33 years 271 days,England,181.0
2020/21,325335.0,Wesley Fofana,Wesley,Fofana,D,29.0,Centre Central Defender,n/a,n/a,12.0,23 years 250 days,France,192.0
2020/21,30985.0,Jóhann Gudmundsson,Jóhann,Gudmundsson,F,7.0,Left Winger,Burnley,BUR,12.0,33 years 301 days,Iceland,192.0
2020/21,340458.0,James Milner,James,Milner,M,6.0,Left/Centre/Right Central Midfielder,n/a,n/a,12.0,38 years 232 days,England,192.0
2020/21,169744.0,Tyrick Mitchell,Tyrick,Mitchell,D,39.0,Left Full Back,Crystal Palace,CRY,12.0,24 years 357 days,England,192.0
2020/21,222663.0,Jacob Ramsey,Jacob,Ramsey,M,41.0,Midfielder,Aston Villa,AVL,12.0,23 years 87 days,England,192.0
2020/21,356341.0,Luke Thomas,Luke,Thomas,D,33.0,Left Full Back,n/a,n/a,12.0,23 years 74 days,England,192.0
2020/21,11259.0,Jamie Vardy,Jamie,Vardy,F,9.0,Centre Striker,Leicester City,LEI,12.0,37 years 225 days,England,192.0
