Season,Player ID,Name,First Name,Last Name,Position,Shirt Number,Position Info,Current Team,Team Abbreviation,Fouls,Age,Nationality,Rank
2022/23,276764.0,Emiliano Buendía,Emiliano,Buendía,M,10.0,Left/Right Attacking Midfielder,Aston Villa,AVL,43.0,27 years 242 days,Argentina,21.0
2022/23,315355.0,Gabriel Jesus,Gabriel Fernando,de Jesus,F,9.0,Second Striker,Arsenal,ARS,43.0,27 years 142 days,Brazil,21.0
2022/23,263465.0,Idrissa Gueye,Idrissa,Gueye,M,27.0,Centre Defensive Midfielder,Everton,EVE,43.0,34 years 332 days,Senegal,21.0
2022/23,135654.0,Bukayo Saka,Bukayo,Saka,F,77.0,Left Winger,Arsenal,ARS,43.0,22 years 353 days,England,21.0
2022/23,180060.0,Bruno Fernandes,Bruno Miguel,Borges Fernandes,M,8.0,Left/Centre/Right Attacking Midfielder,Manchester United,MUN,42.0,29 years 350 days,Portugal,25.0
2022/23,323410.0,Pervis Estupiñán,Pervis,Estupiñán,D,30.0,Left Full Back,Brighton & Hove Albion,BHA,42.0,26 years 215 days,Ecuador,25.0
2022/23,285389.0,Cristian Romero,Cristian,Romero,D,17.0,Centre Central Defender,Tottenham Hotspur,TOT,42.0,26 years 118 days,Argentina,25.0
2022/23,314795.0,Kenny Tete,Kenny,Tete,D,n/a,Right Full Back,Fulham,FUL,42.0,28 years 319 days,Netherlands,25.0
2022/23,346437.0,Mohamed Elyounoussi,Mohamed,Elyounoussi,M,10.0,Midfielder,Southampton,SOU,41.0,30 years 19 days,Norway,29.0
2022/23,316561.0,Andreas Pereira,Andreas Hugo,Hoelgebaum Pereira,M,18.0,Attacking Midfielder,Fulham,FUL,41.0,28 years 235 days,Brazil,29.0
2022/23,135200.0,John McGinn,John,McGinn,M,7.0,Centre Central Midfielder,Aston Villa,AVL,41.0,29 years 310 days,Scotland,29.0
2022/23,359383.0,Marc Roca,Marc,Roca,M,21.0,Centre Defensive Midfielder,n/a,n/a,40.0,27 years 271 days,Spain,32.0
2022/23,362647.0,Dominic Solanke,Dominic,Solanke,F,19.0,Striker,n/a,n/a,40.0,26 years 344 days,England,32.0
2022/23,314846.0,James Tarkowski,James,Tarkowski,D,6.0,Centre Central Defender,Everton,EVE,40.0,31 years 278 days,England,32.0
2022/23,315575.0,Tyrell Malacia,Tyrell,Malacia,D,12.0,Left Full Back,Manchester United,MUN,39.0,25 years 6 days,Netherlands,35.0
2022/23,166789.0,Gabriel Martinelli,Gabriel Teodoro,Martinelli Silva,M,n/a,Midfielder,Arsenal,ARS,39.0,23 years 66 days,Brazil,35.0
2022/23,161456.0,Ché Adams,Ché,Adams,F,10.0,Centre Striker,n/a,n/a,38.0,28 years 41 days,Scotland,37.0
2022/23,342771.0,Harvey Barnes,Harvey,Barnes,M,11.0,Left/Right Winger,Leicester City,LEI,38.0,26 years 258 days,England,37.0
2022/23,354649.0,Rúben Neves,Rúben Diogo,da Silva Neves,M,8.0,Centre Central Midfielder,n/a,n/a,38.0,27 years 163 days,Portugal,37.0
2022/23,316524.0,Cheick Doucouré,Cheick,Doucouré,M,28.0,Centre Defensive Midfielder,Crystal Palace,CRY,38.0,24 years 228 days,Mali,37.0
2022/23,349224.0,Jack Harrison,Jack,Harrison,M,7.0,Midfielder,Leeds United,LEE,38.0,27 years 277 days,England,37.0
2022/23,361468.0,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,M,23.0,Centre Defensive Midfielder,n/a,n/a,38.0,29 years 18 days,Denmark,37.0
2022/23,202622.0,Harrison Reed,Harrison,Reed,M,6.0,Centre Central Midfielder,Fulham,FUL,38.0,29 years 209 days,England,37.0
2022/23,345193.0,Tyler Adams,Tyler,Adams,M,18.0,Midfielder,n/a,n/a,37.0,25 years 191 days,United States,44.0
2022/23,359600.0,Kiernan Dewsbury-Hall,Kiernan,Dewsbury-Hall,M,22.0,Central Midfielder,n/a,n/a,37.0,25 years 352 days,England,44.0
2022/23,347089.0,Brennan Johnson,Brennan,Johnson,F,22.0,Centre Striker,n/a,n/a,37.0,23 years 92 days,Wales,44.0
